"","new_id","old_id","old_classes","aggregated_new_classes","change","new_classes"
"406","2006_SKT_0023","2006_SKT_0023","MIG","MIG",0,"FWM1"
"407","2006_SKT_0025","2006_SKT_0025","MIG","MIG",0,"FWM1"
"408","2006_SKT_0026","2006_SKT_0026","MIG","MIG",0,"FWM1"
"409","2006_SKT_0027","2006_SKT_0027","MIG","MIG",0,"FWM1"
"410","2006_SKT_0028","2006_SKT_0028","BWR","BWR",0,"BWR1"
"411","2006_SKT_0031","2006_SKT_0031","FWR","FWR",0,"FWR1"
"412","2006_SKT_0032","2006_SKT_0032","MIG","MIG",0,"FWM1"
"413","2006_SKT_0033","2006_SKT_0033","MIG","MIG",0,"FWM1"
"414","2006_SKT_0035","2006_SKT_0035","MIG","MIG",0,"FWM1"
"415","2006_SKT_0037","2006_SKT_0037","MIG","MIG",0,"FWM1"
"416","2006_SKT_0038","2006_SKT_0038","MIG","MIG",0,"FWM1"
